CookerStat, GenerateAssetRegistry=0.026897, Initialize=0.133518, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_010B9C81409B1AA782B8BCA56E2743A0__1_0_13123_0, StartTime=2016.05.09-11.21.48, HierarchicalDDC=, DataSize=458, Duration=2.847090, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C7CA59D44D8B18B7E3CFA6AC90709149__1_0_13123_0, StartTime=2016.05.09-11.21.48, HierarchicalDDC=, DataSize=458, Duration=2.809309, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1C77_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.48, Duration=642.031250, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1__88FACC83A6699AAD6EFD75579F814FA8CE43EE3C, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=1048841, Duration=4.188027, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId5798AA9B4DA1A1A954CD848133FDD9E7_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1__67D30C396C6A1EF148A3224373B5DB641CE299B0, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=11.954128, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1__557AA092A6C8F60F8C2B06B0F8A0AF120F9D7851, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=5.396087, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1__B33ADDA127E87AE4ADCEBAC2E9D8D1C46793C78C, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=16647, Duration=3.378600, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId9914F34443D6247825AC158199592014_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0C5828AE45D9F55F7ED4AD86E8B1A2BC_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-11.21.49, Duration=89.154388, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_948EAE5B47E3C7ED49A680B0115F1__092E057A1670E5A2AE736B415D43B3360BDC422C, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=7196, Duration=2.253786, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId62BB92B2425B0243D5D601B2A7014BDB_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0C5828AE45D9F55F7ED4AD86E8B1A__51ABE4ECAF2AE037874873706A330C71161CF791, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=262407, Duration=2.689879, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
DDCTransactionId007F394B407744C4138B7ABD21E345A8_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0C5828AE45D9F55F7ED4AD86E8B1A__874AE4777588B3E543D5BD023C99653335EE47B1, StartTime=2016.05.09-11.21.49, HierarchicalDDC=, DataSize=65799, Duration=5.533766, RunGuid=RunIDC6210A3E4AC8BD4D786B0DB1D9B6F0BB
